date,up,down,unchanged,limit_up,limit_down,ad_ratio,breadth_pct
2026-02-05,330,646,83,14,2,0.3381147540983606,31.1614730878187
2026-02-06,165,846,54,5,9,0.1632047477744807,15.492957746478872
2026-02-09,583,388,91,18,1,0.6004119464469619,54.89642184557438
2026-02-10,560,398,105,12,0,0.5845511482254697,52.681091251175914
2026-02-11,591,402,75,9,3,0.595166163141994,55.33707865168539
2026-02-23,840,179,49,44,1,0.8243375858684985,78.65168539325843
2026-02-24,565,414,87,36,1,0.5771195097037793,53.00187617260788
2026-02-25,511,461,95,34,1,0.5257201646090535,47.891283973758206
2026-02-26,583,400,84,41,3,0.5930824008138352,54.63917525773196
2026-03-02,341,654,72,45,5,0.342713567839196,31.958762886597935
2026-03-03,194,805,69,19,8,0.1941941941941942,18.16479400749064
2026-03-04,59,996,12,7,27,0.0559241706161137,5.5295220243673855
2026-03-05,889,135,42,22,3,0.8681640625,83.39587242026266
2026-03-06,573,408,86,33,4,0.5840978593272171,53.70196813495782
2026-03-09,65,995,8,11,57,0.0613207547169811,6.086142322097379
2026-03-10,766,260,42,21,10,0.746588693957115,71.72284644194757
2026-03-11,884,148,35,59,4,0.8565891472868217,82.84910965323337
2026-03-12,354,656,55,30,2,0.3504950495049505,33.23943661971831
2026-03-13,400,593,74,36,3,0.4028197381671702,37.488284910965326
2026-03-16,532,459,74,38,3,0.5368314833501514,49.95305164319249
2026-03-17,737,253,75,42,1,0.7444444444444445,69.2018779342723
2026-03-18,575,405,87,40,0,0.5867346938775511,53.88940955951266
2026-03-19,227,780,50,34,0,0.2254220456802383,21.475875118259225
2026-03-20,457,537,66,30,5,0.4597585513078471,43.113207547169814
2026-03-23,141,886,37,11,21,0.1372930866601752,13.25187969924812
2026-03-24,444,534,84,8,8,0.4539877300613497,41.80790960451977
2026-03-25,840,163,55,32,1,0.8374875373878365,79.39508506616258
2026-03-26,362,609,78,20,4,0.3728115345005149,34.50905624404194
2026-03-27,419,515,115,21,0,0.4486081370449679,39.942802669208774
2026-03-30,226,772,62,22,1,0.2264529058116232,21.32075471698113
2026-03-31,130,890,44,9,16,0.1274509803921568,12.218045112781954
2026-04-01,913,100,47,35,2,0.9012833168805529,86.13207547169812
2026-04-02,209,788,71,14,7,0.2096288866599799,19.56928838951311
2026-04-07,482,468,118,29,6,0.5073684210526316,45.1310861423221
2026-04-08,878,145,44,60,7,0.8582600195503421,82.28678537956888
2026-04-09,411,566,86,36,2,0.420675537359263,38.66415804327376
2026-04-10,520,452,94,39,1,0.5349794238683128,48.78048780487805
